Date,AAPL,AMZN,BRK.B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2020-10-07,96849000,86188000,,36108000,5603100,23133400,25681100,418084000,129383100,6713400
2020-10-08,83477200,63482000,,26076000,4413500,16312800,19925800,378900000,121263300,3955600
2020-10-09,100506900,98158000,,32966000,5054100,14107800,26458000,346892000,86777100,5562900
2020-10-12,240226800,167284000,,55344000,7273200,31019300,40461400,434744000,116373300,6622700
2020-10-13,262330500,114894000,,39072000,11057600,18063300,28950800,344604000,103391100,5621700
2020-10-14,150712000,116254000,,33174000,7706400,15577800,23421700,276100000,143639100,5320000
2020-10-15,112559200,104468000,,31210000,5978600,15416100,22733100,267224000,107017200,8885500
2020-10-16,115393800,129488000,,34194000,6097000,16622700,26057900,242392000,98327700,6385900
2020-10-19,120639300,104472000,,29734000,7250800,13587000,27625800,298068000,108863400,7449600
2020-10-20,124423700,90194000,,41670000,5325400,18763200,22753500,229212000,94968900,7427000
2020-10-21,89946000,91854000,,60322000,5221300,28998600,22724900,219596000,97111500,6067200
2020-10-22,101988000,84240000,,30512000,5279700,16720000,22351500,290480000,119979600,4908200
2020-10-23,82572600,69334000,,30548000,4154400,17535200,18879600,233484000,101151000,5877200
2020-10-26,111850700,118024000,,35826000,6929500,21322900,37111600,336896000,84717600,12608700
2020-10-27,92276800,85820000,,25902000,4890100,16287200,36700300,250520000,68059500,8690400
2020-10-28,143937800,111766000,,45174000,8426100,23121800,51195600,376520000,76354200,17809500
2020-10-29,146129200,131930000,,55406000,7205400,32368100,31432600,320080000,67965900,16820900
2020-10-30,190272600,167728000,,99878000,7364100,47247800,36953700,416820000,127533900,10252900
2020-11-02,122866900,145148000,,44228000,7088000,27165700,30842200,299652000,87063300,8057100
2020-11-03,107624400,97958000,,31432000,6363000,17961900,27512000,272900000,103055100,6467900
2020-11-04,138235500,136780000,,71342000,10263500,35364400,42311800,410228000,96429300,8102700
2020-11-05,126387100,115786000,,39758000,8016200,23823600,36080100,319028000,85243500,7132100
2020-11-06,114457900,92946000,,28622000,5942500,13891000,25231900,383348000,65118000,6180500
2020-11-09,154515300,143808000,,53440000,12351600,25117700,44395000,582976000,104499000,17916900
2020-11-10,138023400,131820000,,43022000,7386500,29067700,44045100,644068000,90852600,7943600
2020-11-11,112295000,87338000,,31838000,6382400,14957000,29440800,404744000,52073100,5337200
2020-11-12,103162300,87240000,,26474000,4710300,12899500,21593900,365812000,59565300,7302500
2020-11-13,81581900,75124000,,29744000,5893500,10391200,18621100,346312000,59313300,6377500
2020-11-16,91183000,76174000,,25468000,6266400,12970400,24953300,413776000,80515800,12083200
2020-11-17,74271000,68894000,,21314000,7297700,15040300,24154100,312028000,183564900,7268800
2020-11-18,76322100,58336000,,20108000,6661000,12152900,28372800,510924000,234132000,6977900
2020-11-19,74113000,60206000,,20106000,7987700,12963700,24792700,565936000,187425900,5657200
2020-11-20,73604300,67488000,,27694000,6354900,18114700,22843100,341088000,98735700,9653500
2020-11-23,127959300,94178000,,22530000,7318300,20990800,25683500,361356000,150780900,6101900
2020-11-24,113874200,72042000,,27984000,11034800,16930400,33979700,346500000,160945500,10110800
2020-11-25,76499200,75808000,,19600000,7594600,12467000,21012900,259916000,146790600,6772900
2020-11-27,46691300,47858000,,14790000,3059000,7808400,14512200,167276000,112683300,3512900
2020-11-30,169410200,81278000,,32418000,15663200,16693300,33064800,286952000,189009300,7725500
2020-12-01,127728200,90740000,,37350000,9738200,20738900,30904500,296948000,120310500,8047900
2020-12-02,89004200,62586000,,29424000,7745500,17361600,23724500,283360000,143327100,9728900
2020-12-03,78967600,57840000,,24728000,7310500,12921700,25120900,199520000,127656000,9203300
2020-12-04,78260400,58272000,,20544000,6747100,10880300,24666000,202244000,88203900,5720100
2020-12-07,86712000,55026000,,22288000,6634700,13007700,24620000,223244000,168929100,10624500
2020-12-08,82225500,65726000,,19936000,8339800,10747700,23284100,271920000,192795000,8646200
2020-12-09,115089200,82016000,,31728000,8440100,25189700,32440600,401300000,213873600,6251100
2020-12-10,81312200,60604000,,28688000,7392900,20065100,26733300,207764000,201249600,10492000
2020-12-11,86939800,61294000,,18628000,5977400,14391400,30979400,209264000,139425000,9227600
2020-12-14,79184500,83116000,,33050000,8547300,16376900,28798400,270156000,156121800,11967700
2020-12-15,157243700,66390000,,21352000,7612600,23979500,27000600,193016000,135214500,9796100
2020-12-16,98208600,88552000,,24676000,8486100,15885000,35023300,223116000,126287400,7504400
2020-12-17,94359800,69486000,,34880000,9920300,16377800,32515800,231384000,168810300,6517200
2020-12-18,192541500,119914000,,85256000,17137200,26693200,63354900,342064000,666378600,13298200
2020-12-21,121251600,76736000,,33974000,7893400,16553700,37181900,302332000,174135900,7576700
2020-12-22,168904800,47388000,,20370000,4699500,17312900,22612200,185580000,155148000,7396200
2020-12-23,88223700,41876000,,22974000,4607300,14329000,18699600,179144000,99519000,6523100
2020-12-24,54930100,29038000,,9312000,2114900,6702000,10550600,97884000,68596800,3367900
2020-12-28,124486200,113736000,,27650000,3855500,23299700,17933500,212564000,96835800,5816200
2020-12-29,121047300,97458000,,19726000,5212000,16383000,17403200,170372000,68732400,6093400
2020-12-30,96452100,64186000,,21026000,5412800,11803800,20272300,225396000,128538000,8875100
2020-12-31,99116600,59144000,,21070000,5099900,12900400,20942100,192424000,148949700,5922200
2021-01-04,143301900,88228000,,37324000,11765900,15106100,37130100,560640000,145914600,10318300
2021-01-05,97664900,53110000,,20360000,9602300,9871600,23823000,322760000,96735600,6869700
2021-01-06,155088000,87896000,,46588000,8230100,24354100,35930700,580424000,134100000,7206200
2021-01-07,109578200,70290000,,41936000,7747200,15789800,27694500,461480000,154496700,10967900
2021-01-08,105158200,70754000,,35484000,8228900,18528300,22956200,292528000,225166500,6513000
2021-01-11,100384500,73668000,,34796000,7066200,30412300,23031300,518344000,177904800,7353100
2021-01-12,91951100,70292000,,29528000,6903200,26383500,23249300,291476000,138812100,9331600
2021-01-13,88636800,66424000,,23432000,6643100,19528900,20087100,210028000,99937500,6688500
2021-01-14,90221800,61418000,,29212000,10030800,29739400,29480800,283120000,93798900,12887500
2021-01-15,111598500,84880000,,31444000,7630800,24942900,31746500,277780000,116332800,8755000
2021-01-19,90757300,66102000,,41660000,9057600,28028500,30480900,226188000,76101000,9772000
2021-01-20,104319500,106196000,,64152000,6839900,25199900,37777300,258572000,76997700,12675700
2021-01-21,120150900,98722000,,58634000,6818000,20838700,30709400,337780000,61563300,6513500
2021-01-22,114459400,56438000,,32744000,8137000,21954000,30172700,246820000,60199500,7316200
2021-01-25,157611700,74996000,,50586000,9924400,19087000,33152100,251112000,123520200,19282400
2021-01-26,98390600,59104000,,31462000,14205700,19373600,49169600,163980000,69394800,9605300
2021-01-27,140843800,93204000,,82512000,14207300,35346200,69870600,371272000,82002000,13772400
2021-01-28,142621100,62984000,,55278000,8944400,37758800,49111200,228316000,79134000,11041300
2021-01-29,177523800,85872000,,44530000,22505900,30389500,42503100,271552000,104972400,21503000
2021-02-01,106239800,83204000,,40252000,9971400,22914300,33314200,217204000,76174200,12970700
